"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"S003","MullerLyer",-0.37364,6,"MullerLyer_6.00000_-0.37364.png","B",52,1009775,2.836,"arrowup","arrowdown",1,"Incongruent",0.37364,"Incongruent - Mild","Easy"
"S003","MullerLyer",-0.1337,-24,"MullerLyer_-24.000_-0.1337.png","B",53,1013412,0.328,"arrowdown","arrowdown",0,"Congruent",0.1337,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.24183,18,"MullerLyer_18.0000_-0.24183.png","B",54,1014772,0.043,"arrowdown","arrowdown",0,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","MullerLyer",0.045,-24,"MullerLyer_-24.000_0.04500.png","B",55,1015728,0.009,"arrowup","arrowup",0,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.37364,-12,"MullerLyer_-12.000_-0.37364.png","B",56,1016480,0.817,"arrowup","arrowdown",1,"Congruent",0.37364,"Congruent - Mild","Easy"
"S003","MullerLyer",0.24183,-24,"MullerLyer_-24.000_0.24183.png","B",57,1018133,0.076,"arrowdown","arrowup",1,"Congruent",0.24183,"Congruent - Strong","Easy"
"S003","MullerLyer",0.045,-18,"MullerLyer_-18.000_0.04500.png","B",58,1018864,0.255,"arrowdown","arrowup",1,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.37364,30,"MullerLyer_30.0000_-0.37364.png","B",59,1020043,0.339,"arrowdown","arrowdown",0,"Incongruent",0.37364,"Incongruent - Strong","Easy"
"S003","MullerLyer",-0.045,-12,"MullerLyer_-12.000_-0.0450.png","B",60,1021217,0.03,"arrowdown","arrowdown",0,"Congruent",0.045,"Congruent - Mild","Hard"
"S003","MullerLyer",-0.045,18,"MullerLyer_18.0000_-0.0450.png","B",61,1021884,0.178,"arrowup","arrowdown",1,"Incongruent",0.045,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.1337,-18,"MullerLyer_-18.000_0.13370.png","B",62,1022911,0.308,"arrowup","arrowup",0,"Congruent",0.1337,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.045,12,"MullerLyer_12.0000_-0.0450.png","B",63,1023916,0.296,"arrowdown","arrowdown",0,"Incongruent",0.045,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.37364,-12,"MullerLyer_-12.000_0.37364.png","B",64,1025019,0.183,"arrowdown","arrowup",1,"Congruent",0.37364,"Congruent - Mild","Easy"
"S003","MullerLyer",-0.24183,-12,"MullerLyer_-12.000_-0.24183.png","B",65,1025822,0.384,"arrowdown","arrowdown",0,"Congruent",0.24183,"Congruent - Mild","Easy"
"S003","MullerLyer",0.1337,30,"MullerLyer_30.0000_0.13370.png","B",66,1027254,0.26,"arrowup","arrowup",0,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",-0.045,-6,"MullerLyer_-6.0000_-0.0450.png","B",67,1028340,0.001,"arrowdown","arrowdown",0,"Congruent",0.045,"Congruent - Mild","Hard"
"S003","MullerLyer",0.24183,-12,"MullerLyer_-12.000_0.24183.png","B",68,1029090,0.273,"arrowup","arrowup",0,"Congruent",0.24183,"Congruent - Mild","Easy"
"S003","MullerLyer",-0.045,-30,"MullerLyer_-30.000_-0.0450.png","B",69,1030251,0.045,"arrowup","arrowdown",1,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.24183,6,"MullerLyer_6.00000_-0.24183.png","B",70,1031178,0.242,"arrowup","arrowdown",1,"Incongruent",0.24183,"Incongruent - Mild","Easy"
"S003","MullerLyer",0.045,24,"MullerLyer_24.0000_0.04500.png","B",71,1032285,0.138,"arrowdown","arrowup",1,"Incongruent",0.045,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.24183,12,"MullerLyer_12.0000_0.24183.png","B",72,1033120,0.045,"arrowup","arrowup",0,"Incongruent",0.24183,"Incongruent - Mild","Easy"
"S003","MullerLyer",0.37364,-24,"MullerLyer_-24.000_0.37364.png","B",73,1033868,0.062,"arrowup","arrowup",0,"Congruent",0.37364,"Congruent - Strong","Easy"
"S003","MullerLyer",0.1337,-24,"MullerLyer_-24.000_0.13370.png","B",74,1034609,0.02,"arrowdown","arrowup",1,"Congruent",0.1337,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.1337,6,"MullerLyer_6.00000_-0.1337.png","B",75,1035555,0.121,"arrowup","arrowdown",1,"Incongruent",0.1337,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.045,-12,"MullerLyer_-12.000_0.04500.png","B",76,1036727,0.061,"arrowdown","arrowup",1,"Congruent",0.045,"Congruent - Mild","Hard"
"S003","MullerLyer",0.37364,-6,"MullerLyer_-6.0000_0.37364.png","B",77,1037554,0.183,"arrowdown","arrowup",1,"Congruent",0.37364,"Congruent - Mild","Easy"
